filename,EST_CCA,EST_CCP,EST_OCA+OCAG,EST_DRI,GT_DRI
 SPR  0.20  -  A1.png ,6.5,0.0,0.0,1.625,1.25
 SPR  0.20  -  A2.png ,1.5,0.0,3.5,7.375,8.25
 SPR  0.20  -  A3.png ,11.5,2.5,1.5,13.375,5.5
 SPR  0.20  -  A4.png ,6.5,4.0,0.5,14.625,4.5
 SPR  0.20  -  A5.png ,4.0,1.0,1.5,7.0,29.9
 SPR  0.20  -  A6.png ,2.5,0.0,1.0,2.625,3.0
 SPR  0.20  -  A7.png ,4.5,0.5,0.0,2.625,1.75
 SPR  0.20  -  A8.png ,6.5,0.0,0.0,1.625,3.5
 SPR  0.20  -  A9.png ,5.5,4.5,1.0,16.875,8.25
 SPR  0.20  -  A10.png ,2.0,1.5,3.5,12.0,23.5
 SPR  0.20  -  A11.png ,2.0,0.5,4.0,10.0,9.25
 SPR  0.20  -  A12.png ,3.5,2.5,1.5,11.375,21.0
 SPR  0.20  -  A13.png ,3.5,3.0,0.0,9.875,5.75
 SPR  0.20  -  A14.png ,3.5,4.5,2.0,18.375,13.25
 SPR  0.20  -  A15.png ,8.5,1.0,0.0,5.125,0.25
 SPR  0.20  -  A16.png ,1.5,0.0,2.5,5.375,5.5
 SPR  0.20  -  A17.png ,10.0,7.0,0.0,23.5,0.75
 SPR  0.20  -  A18.png ,7.5,0.0,1.5,4.875,7.75
 SPR  0.20  -  A19.png ,4.0,2.0,4.0,15.0,7.25
 SPR  0.20  -  A20.png ,3.5,0.0,3.5,7.875,0.0
 SPR  0.20  -  B1.png ,7.0,0.0,1.5,4.75,3.0
 SPR  0.20  -  B2.png ,5.0,6.0,2.5,24.25,11.25
 SPR  0.20  -  B3.png ,7.5,1.5,1.5,9.375,14.25
 SPR  0.20  -  B4.png ,4.0,2.5,2.5,13.5,11.25
 SPR  0.20  -  B5.png ,3.5,0.0,2.0,4.875,17.5
 SPR  0.20  -  B6.png ,6.0,0.0,1.5,4.5,11.0
 SPR  0.20  -  B7.png ,6.5,1.5,1.0,8.125,5.0
 SPR  0.20  -  B8.png ,2.5,1.5,3.5,12.125,6.5
 SPR  0.20  -  B9.png ,7.0,2.0,0.0,7.75,6.25
 SPR  0.20  -  B10.png ,2.0,0.0,3.5,7.5,20.75
 SPR  0.20  -  B13.png ,4.5,0.0,5.0,11.125,6.75
 SPR  0.20  -  B14.png ,5.5,0.0,1.5,4.375,20.25
 SPR  0.20  -  B15.png ,2.5,0.0,4.5,9.625,8.25
 SPR  0.20  -  B16.png ,2.5,4.5,4.0,22.125,5.25
 SPR  0.20  -  B17.png ,3.5,2.5,4.0,16.375,9.5
 SPR  0.20  -  B18.png ,3.5,0.5,7.5,17.375,31.0
 SPR  0.20  -  B19.png ,2.5,0.0,4.0,8.625,14.25
 SPR  0.20  -  B20.png ,2.5,0.0,5.0,10.625,2.0
 SPR  0.20  -  C1.png ,0.0,1.0,6.0,15.0,21.25
 SPR  0.20  -  C2.png ,2.0,0.0,5.0,10.5,11.75
 SPR  0.20  -  C3.png ,8.0,0.0,5.0,12.0,9.75
 SPR  0.20  -  C4.png ,6.5,3.0,0.0,10.625,5.25
 SPR  0.20  -  C5.png ,4.0,1.5,4.0,13.5,10.5
 SPR  0.20  -  C6.png ,1.0,1.0,6.0,15.25,24.5
 SPR  0.20  -  C7.png ,7.5,5.0,0.0,16.875,9.25
 SPR  0.20  -  C8.png ,6.5,2.0,2.0,11.625,7.75
 SPR  0.20  -  C9.png ,4.0,7.5,0.0,23.5,2.25
 SPR  0.20  -  C10.png ,8.5,5.0,0.0,17.125,0.25
 SPR  0.20  -  C11.png ,2.5,1.0,2.5,8.625,6.75
 SPR  0.20  -  C12.png ,4.0,7.0,1.0,24.0,2.5
 SPR  0.20  -  C13.png ,6.5,4.0,0.0,13.625,0.5
 SPR  0.20  -  C14.png ,5.0,2.0,3.5,14.25,13.0
 SPR  0.20  -  C15.png ,3.5,2.5,8.0,24.375,11.25
 SPR  0.20  -  C16.png ,6.5,2.5,0.5,10.125,5.75
 SPR  0.20  -  C17.png ,5.5,3.5,2.0,15.875,5.0
 SPR  0.20  -  C18.png ,9.5,1.0,2.0,9.375,6.75
 SPR  0.20  -  C19.png ,7.0,1.0,3.0,10.75,9.75
 SPR  0.20  -  C20.png ,1.0,9.0,1.0,29.25,2.5
 SPR  0.20  -  D1.png ,3.5,0.0,1.5,3.875,4.25
 SPR  0.20  -  D2.png ,10.5,0.0,0.0,2.625,5.0
 SPR  0.20  -  D3.png ,2.0,0.5,4.0,10.0,11.25
 SPR  0.20  -  D4.png ,4.5,3.0,0.5,11.125,7.5
 SPR  0.20  -  D5.png ,2.0,2.0,1.5,9.5,4.75
 SPR  0.20  -  D6.png ,10.5,1.0,0.0,5.625,4.75
 SPR  0.20  -  D7.png ,1.5,1.5,1.5,7.875,17.5
 SPR  0.20  -  D8.png ,2.5,1.0,8.5,20.625,11.5
 SPR  0.20  -  D9.png ,5.0,0.5,0.0,2.75,7.5
 SPR  0.20  -  D10.png ,1.5,2.5,1.0,9.875,1.75
 SPR  0.20  -  D11.png ,1.0,2.0,2.5,11.25,21.5
 SPR  0.20  -  D12.png ,0.0,0.0,2.0,4.0,7.75
 SPR  0.20  -  D13.png ,2.0,2.0,1.0,8.5,2.75
 SPR  0.20  -  D14.png ,0.5,2.0,2.5,11.125,4.75
 SPR  0.20  -  D15.png ,1.5,0.0,2.0,4.375,1.25
 SPR  0.20  -  D16.png ,3.5,7.5,7.0,37.375,5.5
 SPR  0.20  -  D17.png ,2.5,0.0,5.5,11.625,12.0
 SPR  0.20  -  D19.png ,5.0,0.5,4.5,11.75,18.25
 SPR  0.20  -  D20.png ,2.5,1.0,4.0,11.625,1.75
 SPR  0.20  -  E1.png ,4.0,4.0,0.0,13.0,2.0
 SPR  0.20  -  E2.png ,2.5,0.0,2.5,5.625,13.0
 SPR  0.20  -  E3.png ,3.5,0.0,2.5,5.875,14.0
 SPR  0.20  -  E4.png ,1.0,0.0,5.0,10.25,25.0
 SPR  0.20  -  E5.png ,0.5,0.0,4.0,8.125,7.5
 SPR  0.20  -  E6.png ,1.5,1.5,0.5,5.875,10.75
 SPR  0.20  -  E7.png ,2.0,8.5,2.5,31.0,9.0
 SPR  0.20  -  E8.png ,2.0,4.5,1.0,16.0,1.0
 SPR  0.20  -  E9.png ,6.0,1.5,2.0,10.0,8.5
 SPR  0.20  -  E10.png ,4.0,0.5,2.5,7.5,7.0
 SPR  0.20  -  E11.png ,2.5,1.5,0.5,6.125,4.5
 SPR  0.20  -  E12.png ,0.5,0.0,3.0,6.125,21.0
 SPR  0.20  -  E13.png ,1.0,3.0,5.0,19.25,29.75
 SPR  0.20  -  E14.png ,0.0,2.0,4.5,15.0,14.0
 SPR  0.20  -  E15.png ,4.0,2.5,1.5,11.5,2.0
 SPR  0.20  -  E16.png ,6.5,5.0,3.5,23.625,3.75
 SPR  0.20  -  E17.png ,0.5,4.5,4.0,21.625,4.5
 SPR  0.20  -  E18.png ,2.0,1.5,8.5,22.0,11.25
 SPR  0.20  -  E19.png ,0.5,0.0,4.0,8.125,29.75
 SPR  0.20  -  E20.png ,6.5,3.0,4.5,19.625,4.25
 SPR  0.20  -  F1.png ,2.5,1.0,5.5,14.625,2.25
 SPR  0.20  -  F2.png ,4.5,3.5,1.0,13.625,8.75
 SPR  0.20  -  F3.png ,3.5,1.5,2.5,10.375,13.5
 SPR  0.20  -  F4.png ,3.5,0.0,2.0,4.875,26.5
 SPR  0.20  -  F5.png ,5.0,1.0,1.0,6.25,3.5
 SPR  0.20  -  F6.png ,4.0,3.5,0.0,11.5,2.25
 SPR  0.20  -  F7.png ,2.5,1.5,3.5,12.125,9.25
 SPR  0.20  -  F8.png ,2.0,1.0,2.0,7.5,2.25
 SPR  0.20  -  F9.png ,2.0,2.5,3.0,14.0,2.0
 SPR  0.20  -  F10.png ,2.0,14.0,1.0,44.5,2.0
 SPR  0.20  -  F11.png ,5.5,5.5,0.0,17.875,2.5
 SPR  0.20  -  F12.png ,5.0,1.5,2.0,9.75,15.5
 SPR  0.20  -  F13.png ,0.5,3.0,6.5,22.125,21.75
 SPR  0.20  -  F14.png ,1.0,0.0,5.0,10.25,21.0
 SPR  0.20  -  F15.png ,6.0,9.0,1.0,30.5,4.75
 SPR  0.20  -  F16.png ,1.5,9.5,0.0,28.875,2.25
 SPR  0.20  -  F17.png ,1.5,2.0,4.0,14.375,6.5
 SPR  0.20  -  F18.png ,0.5,1.0,8.0,19.125,13.25
 SPR  0.20  -  F19.png ,6.0,3.5,1.0,14.0,9.0
 SPR  0.20  -  F20.png ,5.0,2.0,0.0,7.25,0.0
 SPR  0.20  -  G1.png ,3.5,2.0,0.0,6.875,8.75
 SPR  0.20  -  G2.png ,3.0,5.0,1.5,18.75,5.0
 SPR  0.20  -  G3.png ,4.0,0.0,4.0,9.0,26.25
 SPR  0.20  -  G4.png ,4.5,0.5,1.5,5.625,11.25
 SPR  0.20  -  G5.png ,1.0,3.0,6.0,21.25,10.0
 SPR  0.20  -  G6.png ,1.0,0.0,2.0,4.25,21.5
 SPR  0.20  -  G7.png ,4.0,6.5,0.0,20.5,2.25
 SPR  0.20  -  G8.png ,2.5,5.5,2.5,22.125,2.5
 SPR  0.20  -  G9.png ,1.5,2.5,5.0,17.875,12.0
 SPR  0.20  -  G10.png ,5.0,1.5,5.0,15.75,31.25
 SPR  0.20  -  G11.png ,2.0,2.5,3.0,14.0,15.25
 SPR  0.20  -  G12.png ,4.0,0.0,4.5,10.0,23.0
 SPR  0.20  -  G13.png ,2.0,2.5,6.5,21.0,6.0
 SPR  0.20  -  G14.png ,3.0,0.0,3.5,7.75,4.75
 SPR  0.20  -  G15.png ,1.5,4.5,1.5,16.875,6.5
 SPR  0.20  -  G16.png ,4.5,3.0,3.5,17.125,2.5
 SPR  0.20  -  G17.png ,2.0,1.0,5.0,13.5,8.0
 SPR  0.20  -  G19.png ,3.0,2.5,2.0,12.25,9.0
 SPR  0.20  -  G20.png ,1.5,4.0,6.5,25.375,4.5
 SPR  0.20  -  H1.png ,2.0,0.0,5.5,11.5,17.5
 SPR  0.20  -  H2.png ,3.5,0.0,1.5,3.875,15.5
 SPR  0.20  -  H3.png ,1.5,0.0,3.5,7.375,12.0
 SPR  0.20  -  H4.png ,2.0,0.0,2.0,4.5,0.75
 SPR  0.20  -  H5.png ,4.5,2.0,3.0,13.125,29.75
 SPR  0.20  -  H6.png ,1.0,3.5,5.5,21.75,17.5
 SPR  0.20  -  H7.png ,2.5,2.5,2.0,12.125,12.5
 SPR  0.20  -  H8.png ,2.5,0.5,7.0,16.125,9.0
 SPR  0.20  -  H9.png ,7.5,3.5,1.0,14.375,15.0
 SPR  0.20  -  H10.png ,3.5,3.5,5.5,22.375,19.5
 SPR  0.20  -  H11.png ,0.0,4.5,1.5,16.5,12.75
 SPR  0.20  -  H12.png ,3.0,2.0,3.5,13.75,14.5
 SPR  0.20  -  H13.png ,2.0,1.5,4.5,14.0,8.75
 SPR  0.20  -  H14.png ,2.0,2.5,4.0,16.0,16.5
 SPR  0.20  -  H15.png ,1.0,3.0,6.0,21.25,15.5
 SPR  0.20  -  H16.png ,6.0,0.0,2.5,6.5,4.7
 SPR  0.20  -  H17.png ,0.5,1.0,3.0,9.125,16.0
 SPR  0.20  -  H18.png ,1.5,3.5,6.5,23.875,26.5
 SPR  0.20  -  H19.png ,3.5,0.5,1.5,5.375,5.0
 SPR  0.20  -  H20.png ,1.5,0.0,5.0,10.375,11.25
