filename,EST_CCA,EST_CCP,EST_OCA+OCAG,EST_DRI,GT_DRI
 SPR11  -  A1.png ,2.5,6.0,0.0,18.625,0.
 SPR11  -  A2.png ,5.0,1.5,15.5,36.75,4.75
 SPR11  -  A3.png ,5.5,0.0,4.5,10.375,13.5
 SPR11  -  A4.png ,5.0,2.5,0.5,9.75,8.5
 SPR11  -  A5.png ,2.0,4.5,0.0,14.0,5.0
 SPR11  -  A6.png ,3.0,0.0,3.0,6.75,23.75
 SPR11  -  A7.png ,2.5,0.5,6.5,15.125,4.25
 SPR11  -  A8.png ,29.5,1.0,5.5,21.375,4.0
 SPR11  -  A9.png ,5.5,7.5,5.5,34.875,2.5
 SPR11  -  A10.png ,2.5,0.0,5.0,10.625,20.75
 SPR11  -  A11.png ,7.5,1.0,3.5,11.875,4.0
 SPR11  -  A12.png ,7.0,3.0,2.0,14.75,6.0
 SPR11  -  A13.png ,6.0,0.0,6.5,14.5,8.75
 SPR11  -  A14.png ,3.0,0.5,5.0,12.25,16.75
 SPR11  -  A15.png ,4.5,2.0,1.0,9.125,4.75
 SPR11  -  A16.png ,3.5,0.5,4.0,10.375,3.0
 SPR11  -  A17.png ,11.5,3.0,0.5,12.875,4.25
 SPR11  -  A18.png ,16.0,0.0,1.0,6.0,4.25
 SPR11  -  B1.png ,5.5,0.0,3.5,8.375,0.5
 SPR11  -  B2.png ,2.5,0.0,8.0,16.625,15.5
 SPR11  -  B3.png ,3.5,1.0,8.5,20.875,0.0
 SPR11  -  B4.png ,3.5,4.0,1.5,15.875,4.75
 SPR11  -  B5.png ,7.5,0.0,11.5,24.875,4.5
 SPR11  -  B6.png ,5.5,4.0,3.0,19.375,4.25
 SPR11  -  B7.png ,9.0,2.5,0.5,10.75,4.75
 SPR11  -  B8.png ,1.5,0.0,5.5,11.375,7.0
 SPR11  -  B9.png ,5.5,0.5,2.5,7.875,4.75
 SPR11  -  B10.png ,3.0,1.5,2.5,10.25,8.0
 SPR11  -  B11.png ,7.5,3.0,0.0,10.875,0.25
 SPR11  -  B12.png ,2.5,1.5,2.5,10.125,10.0
 SPR11  -  B13.png ,12.5,5.0,0.0,18.125,0.0
 SPR11  -  B14.png ,1.5,3.0,2.0,13.375,4.25
 SPR11  -  B15.png ,1.5,0.5,2.0,5.875,2.75
 SPR11  -  B16.png ,7.0,4.5,1.5,18.25,2.5
 SPR11  -  B17.png ,4.5,1.5,3.5,12.625,3.5
 SPR11  -  B18.png ,9.5,0.0,0.0,2.375,0.0
 SPR11  -  B19.png ,5.0,0.0,3.0,7.25,0.0
 SPR11  -  C1.png ,2.0,3.5,3.5,18.0,6.75
 SPR11  -  C2.png ,3.5,1.0,5.5,14.875,5.0
 SPR11  -  C3.png ,7.5,2.0,5.0,17.875,4.0
 SPR11  -  C4.png ,5.0,0.0,5.5,12.25,0.0
 SPR11  -  C5.png ,4.0,1.0,4.0,12.0,2.0
 SPR11  -  C6.png ,8.0,0.5,3.0,9.5,0.75
 SPR11  -  C7.png ,2.5,2.5,4.0,16.125,3.25
 SPR11  -  C8.png ,3.5,2.0,7.0,20.875,2.0
 SPR11  -  C9.png ,3.0,2.0,2.0,10.75,8.25
 SPR11  -  C10.png ,6.5,1.5,1.5,9.125,3.75
 SPR11  -  C11.png ,1.5,0.0,25.0,50.375,9.25
 SPR11  -  C12.png ,3.5,2.0,5.5,17.875,5.0
 SPR11  -  C13.png ,6.5,2.0,1.0,9.625,2.25
 SPR11  -  C14.png ,4.0,0.5,5.5,13.5,1.0
 SPR11  -  C15.png ,5.0,1.5,12.0,29.75,2.75
 SPR11  -  C16.png ,6.5,0.0,2.0,5.625,0.75
 SPR11  -  C17.png ,3.0,2.5,3.5,15.25,0.75
 SPR11  -  C18.png ,1.5,0.0,9.5,19.375,8.0
 SPR11  -  C19.png ,6.5,1.5,1.0,8.125,3.0
 SPR11  -  D1.png ,4.5,0.0,1.0,3.125,3.0
 SPR11  -  D2.png ,2.5,0.0,7.5,15.625,2.0
 SPR11  -  D3.png ,4.5,0.0,5.5,12.125,4.75
 SPR11  -  D4.png ,5.5,6.5,2.5,25.875,6.5
 SPR11  -  D5.png ,5.0,3.5,2.0,15.75,0.5
 SPR11  -  D6.png ,3.0,0.0,22.0,44.75,12.0
 SPR11  -  D7.png ,1.5,3.5,0.5,11.875,0.0
 SPR11  -  D8.png ,1.5,0.5,3.5,8.875,2.0
 SPR11  -  D9.png ,3.5,1.0,9.5,22.875,4.25
 SPR11  -  D10.png ,8.0,2.0,1.0,10.0,3.0
 SPR11  -  D11.png ,4.5,0.0,2.5,6.125,6.0
 SPR11  -  D12.png ,3.5,1.5,1.5,8.375,3.0
 SPR11  -  D13.png ,2.5,0.5,4.5,11.125,4.5
 SPR11  -  D14.png ,2.5,1.0,3.0,9.625,0.5
 SPR11  -  D15.png ,8.5,0.0,2.5,7.125,2.5
 SPR11  -  D16.png ,6.0,0.0,0.0,1.5,0.25
 SPR11  -  D17.png ,4.0,0.0,12.0,25.0,0.5
 SPR11  -  D18.png ,10.5,3.5,8.0,29.125,5.25
 SPR11  -  D19.png ,6.0,1.5,1.0,8.0,4.25
 SPR11  -  E1.png ,8.5,3.0,3.0,17.125,2.25
 SPR11  -  E2.png ,3.0,0.0,7.0,14.75,14.5
 SPR11  -  E3.png ,2.0,1.0,3.0,9.5,12.5
 SPR11  -  E4.png ,7.5,1.5,4.5,15.375,7.5
 SPR11  -  E5.png ,4.0,1.5,5.5,16.5,1.0
 SPR11  -  E6.png ,4.0,6.0,4.0,27.0,15.0
 SPR11  -  E7.png ,11.5,3.0,0.5,12.875,0.25
 SPR11  -  E8.png ,2.5,5.0,5.5,26.625,0.0
 SPR11  -  E9.png ,5.5,1.0,1.0,6.375,4.0
 SPR11  -  E10.png ,5.5,0.0,4.0,9.375,0.0
 SPR11  -  E11.png ,3.0,2.0,3.5,13.75,4.0
 SPR11  -  E12.png ,1.0,8.5,1.0,27.75,0.0
 SPR11  -  E13.png ,2.5,0.0,6.5,13.625,2.0
 SPR11  -  E14.png ,8.0,0.0,4.5,11.0,2.0
 SPR11  -  E15.png ,6.5,6.0,3.0,25.625,4.75
 SPR11  -  E16.png ,0.0,0.0,7.5,15.0,0.25
 SPR11  -  E17.png ,1.0,9.0,4.0,35.25,2.0
 SPR11  -  E18.png ,5.5,2.5,2.0,12.875,4.0
 SPR11  -  E19.png ,4.0,9.0,0.0,28.0,0.75
 SPR11  -  F1.png ,6.5,2.0,5.0,17.625,10.25
 SPR11  -  F2.png ,8.5,1.0,3.5,12.125,0.25
 SPR11  -  F3.png ,5.0,0.5,5.5,13.75,14.0
 SPR11  -  F4.png ,1.5,1.5,3.0,10.875,4.5
 SPR11  -  F5.png ,6.5,0.0,2.5,6.625,6.5
 SPR11  -  F6.png ,3.5,0.0,3.0,6.875,7.25
 SPR11  -  F7.png ,4.0,1.0,4.5,13.0,5.0
 SPR11  -  F8.png ,4.0,3.5,3.5,18.5,2.0
 SPR11  -  F9.png ,3.0,1.5,4.0,13.25,4.25
 SPR11  -  F10.png ,0.0,0.0,5.0,10.0,8.5
 SPR11  -  F11.png ,3.0,0.0,3.5,7.75,4.25
 SPR11  -  F12.png ,5.5,0.0,4.5,10.375,3.0
 SPR11  -  F13.png ,5.0,0.5,4.0,10.75,8.25
 SPR11  -  F14.png ,3.5,1.5,4.5,14.375,6.75
 SPR11  -  F15.png ,4.5,0.0,6.0,13.125,0.75
 SPR11  -  F16.png ,5.0,0.0,3.0,7.25,2.25
 SPR11  -  F17.png ,8.5,1.5,2.0,10.625,8.75
 SPR11  -  F18.png ,6.0,5.5,0.0,18.0,0.5
 SPR11  -  F19.png ,2.5,4.0,1.5,15.625,2.0
 SPR11  -  G1.png ,1.5,0.0,21.5,43.375,22.0
 SPR11  -  G2.png ,1.5,3.0,4.5,18.375,0.0
 SPR11  -  G3.png ,2.5,1.0,5.5,14.625,10.0
 SPR11  -  G4.png ,0.0,7.0,3.5,28.0,1.0
 SPR11  -  G5.png ,5.5,1.0,2.0,8.375,2.25
 SPR11  -  G7.png ,6.0,0.5,4.0,11.0,8.25
 SPR11  -  G8.png ,8.5,2.5,2.0,13.625,2.5
 SPR11  -  G9.png ,1.5,0.0,3.0,6.375,6.75
 SPR11  -  G10.png ,3.0,0.0,6.0,12.75,2.25
 SPR11  -  G11.png ,7.5,5.5,5.0,28.375,0.75
 SPR11  -  G12.png ,2.0,2.0,6.0,18.5,4.5
 SPR11  -  G13.png ,5.0,3.5,3.0,17.75,10.5
 SPR11  -  G14.png ,2.5,0.0,9.0,18.625,13.75
 SPR11  -  G15.png ,7.0,1.0,3.5,11.75,0.25
 SPR11  -  G16.png ,3.0,3.0,2.0,13.75,6.5
 SPR11  -  G17.png ,3.0,0.5,6.0,14.25,20.25
 SPR11  -  G18.png ,4.0,1.0,4.0,12.0,6.5
 SPR11  -  G19.png ,5.0,2.0,4.5,16.25,4.75
 SPR11  -  H1.png ,8.0,0.0,0.0,2.0,0.25
 SPR11  -  H2.png ,4.0,1.0,5.5,15.0,8.0
 SPR11  -  H3.png ,6.0,4.0,8.0,29.5,7.75
 SPR11  -  H4.png ,3.5,3.0,1.5,12.875,4.5
 SPR11  -  H5.png ,4.5,0.0,3.5,8.125,5.75
