filename,GT_DRI,EST_DRI
 SPR  16  -  A1.jpg ,16.0,4.875
 SPR  16  -  A2.jpg ,4.5,5.75
 SPR  16  -  A3.jpg ,9.5,12.5
 SPR  16  -  A4.jpg ,16.5,8.625
 SPR  16  -  A5.jpg ,11.5,2.875
 SPR  16  -  A6.jpg ,13.5,6.5
 SPR  16  -  A7.jpg ,14.75,30.375
 SPR  16  -  A8.jpg ,37.5,23.25
 SPR  16  -  A9.jpg ,14.5,9.75
 SPR  16  -  A10.jpg ,12.5,20.0
 SPR  16  -  A11.jpg ,25.75,14.5
 SPR  16  -  A12.jpg ,3.0,4.75
 SPR  16  -  A13.jpg ,6.75,2.125
 SPR  16  -  A14.jpg ,29.25,15.25
 SPR  16  -  A15.jpg ,8.5,7.0
 SPR  16  -  A16.jpg ,18.5,21.5
 SPR  16  -  A17.jpg ,0.25,5.625
 SPR  16  -  A18.jpg ,3.75,17.5
 SPR  16  -  B1.jpg ,24.0,21.125
 SPR  16  -  B2.jpg ,23.5,5.5
 SPR  16  -  B3.jpg ,3.0,13.875
 SPR  16  -  B4.jpg ,12.75,28.5
 SPR  16  -  B5.jpg ,26.0,14.875
 SPR  16  -  B6.jpg ,11.0,2.375
 SPR  16  -  B7.jpg ,33.25,12.625
 SPR  16  -  B8.jpg ,23.5,14.125
 SPR  16  -  B9.jpg ,9.25,13.25
 SPR  16  -  B10.jpg ,5.25,18.25
 SPR  16  -  B11.jpg ,22.25,11.0
 SPR  16  -  B12.jpg ,20.0,7.625
 SPR  16  -  B13.jpg ,5.25,23.375
 SPR  16  -  B14.jpg ,10.5,17.25
 SPR  16  -  B15.jpg ,17.5,17.875
 SPR  16  -  B16.jpg ,5.25,25.25
 SPR  16  -  B17.jpg ,6.75,18.5
 SPR  16  -  B18.jpg ,20.0,19.625
 SPR  16  -  C1.jpg ,19.75,27.875
 SPR  16  -  C2.jpg ,15.25,10.0
 SPR  16  -  C3.jpg ,5.75,24.0
 SPR  16  -  C4.jpg ,1.25,6.25
 SPR  16  -  C5.jpg ,8.75,12.0
 SPR  16  -  C6.jpg ,12.0,13.125
 SPR  16  -  C7.jpg ,10.25,15.25
 SPR  16  -  C8.jpg ,13.5,17.75
 SPR  16  -  C9.jpg ,5.5,9.375
 SPR  16  -  C10.jpg ,2.75,10.875
 SPR  16  -  C11.jpg ,5.0,13.0
 SPR  16  -  C12.jpg ,0.25,1.875
 SPR  16  -  C13.jpg ,1.25,2.125
 SPR  16  -  C14.jpg ,0.5,12.625
 SPR  16  -  C15.jpg ,8.0,8.875
 SPR  16  -  C16.jpg ,8.0,24.5
 SPR  16  -  C17.jpg ,13.25,14.625
 SPR  16  -  C18.jpg ,5.0,9.75
 SPR  16  -  D1.jpg ,9.25,13.125
 SPR  16  -  D2.jpg ,6.0,17.75
 SPR  16  -  D3.jpg ,19.75,28.625
 SPR  16  -  D4.jpg ,2.5,14.0
 SPR  16  -  D5.jpg ,5.75,24.0
 SPR  16  -  D6.jpg ,6.75,8.0
 SPR  16  -  D7.jpg ,6.0,36.0
 SPR  16  -  D8.jpg ,16.5,8.375
 SPR  16  -  D9.jpg ,4.0,12.25
 SPR  16  -  D10.jpg ,3.75,15.5
 SPR  16  -  D11.jpg ,5.75,4.0
 SPR  16  -  D12.jpg ,5.75,15.875
 SPR  16  -  D13.jpg ,0.25,6.75
 SPR  16  -  D14.jpg ,16.75,9.875
 SPR  16  -  D15.jpg ,9.5,26.0
 SPR  16  -  D16.jpg ,28.25,24.25
 SPR  16  -  D17.jpg ,6.0,24.625
 SPR  16  -  D18.jpg ,11.25,3.5
 SPR  16  -  E1.jpg ,7.75,4.5
 SPR  16  -  E2.jpg ,13.5,41.25
 SPR  16  -  E3.jpg ,16.75,4.25
 SPR  16  -  E4.jpg ,7.5,1.0
 SPR  16  -  E6.jpg ,19.25,2.375
 SPR  16  -  E7.jpg ,0.25,10.0
 SPR  16  -  E8.jpg ,1.0,7.625
 SPR  16  -  E9.jpg ,20.0,20.25
 SPR  16  -  E10.jpg ,9.0,6.0
 SPR  16  -  E11.jpg ,34.75,15.75
 SPR  16  -  E13.jpg ,12.75,60.875
 SPR  16  -  E14.jpg ,42.5,11.0
 SPR  16  -  E15.jpg ,8.5,6.875
